roll_call_id,bill_id,date,desc,passed,chamber,people_id,vote_text
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,19623,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,21065,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,21129,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,21130,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,21131,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,21132,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,21135,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,21136,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,21137,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,21138,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,21139,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,21142,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,21143,Yea
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,21145,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,21147,Yea
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,21148,Yea
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,21149,Nay
1454011,1881230,2024-06-05,House  Amendment 29 rejected - 27 YEAS to 131 NAYS,0,H,21150,Nay
