source,target,weight
2463,17662,3091
2463,19195,3091
2463,19410,3091
2463,19433,3089
2463,21064,3091
2463,21126,3056
2463,21127,3087
2463,21141,3048
2463,21648,3091
2463,22739,3091
2463,22841,3083
2463,22842,3050
2463,23059,3088
2463,24765,3088
2463,24769,3091
2463,2577,3285
2463,13105,2985
2463,17963,3223
2463,2390,30
2463,2391,31
2463,2394,31
2463,2395,30
2463,2396,29
2463,2405,30
2463,2422,31
2463,2434,31
2463,2440,29
2463,2441,26
2463,2442,31
2463,2443,30
2463,2444,29
2463,2449,31
2463,2451,31
2463,2456,31
2463,2457,29
2463,2459,29
2463,2464,30
2463,2472,31
2463,2476,31
2463,2478,31
2463,2480,31
2463,2481,31
2463,2483,31
2463,2488,31
2463,2491,30
2463,2497,25
2463,2501,31
2463,2507,24
2463,2519,29
2463,2526,30
2463,2576,221
2463,12427,29
2463,12436,25
2463,12442,29
2463,12454,29
2463,12455,29
2463,12461,31
2463,13053,31
2463,13059,30
2463,13064,30
2463,13106,31
2463,13111,30
2463,13112,31
2463,13113,31
2463,13114,29
2463,13116,22
2463,13123,31
2463,13877,31
2463,13969,28
2463,16186,31
2463,16187,11
2463,16188,31
2463,16189,31
2463,16191,30
2463,16192,23
2463,16196,28
2463,16197,31
2463,16199,30
2463,16202,28
2463,16203,31
2463,17644,28
2463,17645,31
2463,17646,31
2463,17647,30
2463,17648,27
2463,17649,29
2463,17650,28
2463,17652,29
2463,17653,31
2463,17655,26
2463,17656,30
2463,17657,31
2463,17659,31
2463,17660,31
2463,17661,28
2463,17708,31
2463,17871,31
2463,17960,31
2463,17962,31
2463,17971,31
2463,17989,29
2463,19185,27
2463,19188,28
2463,19191,27
2463,19192,31
2463,19193,28
2463,19194,31
2463,19304,31
2463,19306,30
2463,19442,27
2463,19443,31
2463,19623,30
2463,21065,31
2463,21129,29
2463,21130,29
2463,21131,30
2463,21132,31
2463,21135,29
2463,21136,31
2463,21137,24
2463,21138,31
2463,21139,31
2463,21142,31
2463,21143,26
2463,21145,31
2463,21147,28
2463,21148,27
2463,21149,29
2463,21150,31
2463,21280,29
2463,21638,31
2463,21656,29
2463,21657,27
2463,22681,28
2463,22730,31
2463,22731,31
2463,22732,31
2463,22733,31
2463,22734,31
2463,22735,31
2463,22736,31
2463,22737,28
2463,22738,31
2463,22740,31
2463,22741,28
2463,22742,31
2463,22743,31
2463,22744,31
2463,22745,22
2463,22912,32
2463,24754,31
2463,24755,31
2463,24756,31
2463,24757,31
2463,24758,30
2463,24759,31
2463,24760,31
2463,24761,31
2463,24762,31
2463,24763,31
2463,24764,31
2463,24766,31
2463,24767,29
2463,24768,29
2463,24770,31
2463,24771,31
2463,24772,31
2463,24773,29
2463,24774,25
2463,24775,31
2463,24776,26
2463,24777,31
2463,13317,1692
2463,2493,25
2463,2528,26
2463,16194,25
2463,19189,29
2463,24947,27
2463,24948,27
2463,25189,14
2471,2445,766
2471,2506,3113
2471,2510,3094
2471,2531,3210
2471,2552,3113
2471,2555,3095
2471,2560,3107
2471,2566,3093
2471,2567,3104
2471,2572,3097
2471,12439,3107
2471,13058,3085
2471,13110,3114
2471,16183,3079
2471,16207,3145
2471,16256,3102
2471,17662,3113
2471,19195,3113
2471,19410,3113
2471,19433,3107
2471,21064,3113
2471,21126,3076
2471,21127,3109
2471,21141,3055
2471,21648,3113
2471,22739,3113
2471,22841,3103
2471,22842,3072
2471,23059,3110
2471,24765,3110
2471,24769,3113
2471,2577,3268
2471,13105,2973
2471,17963,3204
2471,2576,222
2471,2390,30
2471,2391,31
2471,2394,31
2471,2395,30
2471,2396,29
2471,2405,30
2471,2422,31
2471,2434,31
2471,2440,29
2471,2441,26
2471,2442,31
2471,2443,30
2471,2444,29
2471,2449,31
2471,2451,31
2471,2456,31
2471,2457,29
2471,2459,29
2471,2464,30
2471,2472,31
2471,2476,31
2471,2478,31
2471,2480,31
2471,2481,31
2471,2483,31
2471,2488,31
2471,2491,30
2471,2497,25
2471,2501,31
2471,2507,24
2471,2519,29
2471,2526,30
2471,12427,29
2471,12436,25
2471,12442,29
2471,12454,29
2471,12455,29
2471,12461,31
2471,13053,31
2471,13059,30
2471,13064,30
2471,13106,31
2471,13111,30
2471,13112,31
2471,13113,31
2471,13114,29
2471,13116,22
2471,13123,31
2471,13877,31
2471,13969,28
2471,16186,31
2471,16187,11
2471,16188,31
2471,16189,31
2471,16191,30
2471,16192,23
2471,16196,28
2471,16197,31
2471,16199,30
2471,16202,28
2471,16203,31
2471,17644,28
2471,17645,31
2471,17646,31
2471,17647,30
2471,17648,27
2471,17649,29
2471,17650,28
2471,17652,29
2471,17653,31
2471,17655,26
2471,17656,30
2471,17657,31
2471,17659,31
2471,17660,31
2471,17661,28
2471,17708,31
2471,17871,31
2471,17960,31
2471,17962,31
2471,17971,31
2471,17989,29
2471,19185,27
2471,19188,28
2471,19191,27
2471,19192,31
2471,19193,28
2471,19194,31
2471,19304,31
2471,19306,30
2471,19442,27
2471,19443,31
2471,19623,30
2471,21065,31
2471,21129,29
2471,21130,29
2471,21131,30
2471,21132,31
2471,21135,29
2471,21136,31
2471,21137,24
2471,21138,31
2471,21139,31
2471,21142,31
2471,21143,26
2471,21145,31
2471,21147,28
2471,21148,27
2471,21149,29
2471,21150,31
2471,21280,29
2471,21638,31
2471,21656,29
2471,21657,27
2471,22681,28
2471,22730,31
2471,22731,31
2471,22732,31
2471,22733,31
2471,22734,31
2471,22735,31
2471,22736,31
2471,22737,28
2471,22738,31
2471,22740,31
2471,22741,28
2471,22742,31
2471,22743,31
2471,22744,31
2471,22745,22
2471,22912,32
2471,24754,31
2471,24755,31
2471,24756,31
2471,24757,31
2471,24758,30
2471,24759,31
2471,24760,31
2471,24761,31
2471,24762,31
2471,24763,31
2471,24764,31
2471,24766,31
2471,24767,29
2471,24768,29
2471,24770,31
2471,24771,31
2471,24772,31
2471,24773,29
2471,24774,25
2471,24775,31
2471,24776,26
2471,24777,31
2471,13317,1695
2471,2493,25
2471,2528,26
2471,16194,25
2471,19189,29
2471,24947,27
2471,24948,27
2471,25189,14
2506,2445,766
2506,2510,3100
2506,2531,3204
2506,2552,3119
2506,2555,3097
2506,2560,3111
2506,2566,3091
2506,2567,3104
2506,2572,3093
2506,12439,3111
2506,13058,3081
2506,13110,3118
2506,16183,3085
2506,16207,3149
2506,16256,3108
2506,17662,3119
2506,19195,3119
2506,19410,3119
2506,19433,3109
2506,21064,3119
2506,21126,3080
2506,21127,3115
2506,21141,3061
2506,21648,3119
2506,22739,3119
2506,22841,3107
2506,22842,3078
2506,23059,3116
2506,24765,3116
2506,24769,3119
2506,2577,3267
2506,13105,2973
2506,17963,3201
2506,2576,224
2506,2390,30
2506,2391,31
2506,2394,31
2506,2395,30
2506,2396,29
2506,2405,30
2506,2422,31
2506,2434,31
2506,2440,29
2506,2441,26
2506,2442,31
2506,2443,30
2506,2444,29
2506,2449,31
2506,2451,31
2506,2456,31
2506,2457,29
2506,2459,29
2506,2464,30
2506,2472,31
2506,2476,31
2506,2478,31
2506,2480,31
2506,2481,31
2506,2483,31
2506,2488,31
2506,2491,30
2506,2497,25
2506,2501,31
2506,2507,24
2506,2519,29
2506,2526,30
2506,12427,29
2506,12436,25
2506,12442,29
2506,12454,29
2506,12455,29
2506,12461,31
2506,13053,31
2506,13059,30
2506,13064,30
2506,13106,31
2506,13111,30
2506,13112,31
2506,13113,31
2506,13114,29
2506,13116,22
2506,13123,31
2506,13877,31
2506,13969,28
2506,16186,31
2506,16187,11
2506,16188,31
2506,16189,31
2506,16191,30
2506,16192,23
2506,16196,28
2506,16197,31
2506,16199,30
2506,16202,28
2506,16203,31
2506,17644,28
2506,17645,31
2506,17646,31
2506,17647,30
2506,17648,27
2506,17649,29
2506,17650,28
2506,17652,29
2506,17653,31
2506,17655,26
2506,17656,30
2506,17657,31
2506,17659,31
2506,17660,31
2506,17661,28
2506,17708,31
2506,17871,31
2506,17960,31
2506,17962,31
2506,17971,31
2506,17989,29
2506,19185,27
2506,19188,28
2506,19191,27
2506,19192,31
2506,19193,28
2506,19194,31
2506,19304,31
2506,19306,30
2506,19442,27
2506,19443,31
2506,19623,30
2506,21065,31
2506,21129,29
2506,21130,29
2506,21131,30
2506,21132,31
2506,21135,29
2506,21136,31
2506,21137,24
2506,21138,31
2506,21139,31
2506,21142,31
2506,21143,26
2506,21145,31
2506,21147,28
2506,21148,27
2506,21149,29
2506,21150,31
2506,21280,29
2506,21638,31
2506,21656,29
2506,21657,27
2506,22681,28
2506,22730,31
2506,22731,31
2506,22732,31
2506,22733,31
2506,22734,31
2506,22735,31
2506,22736,31
2506,22737,28
2506,22738,31
2506,22740,31
2506,22741,28
2506,22742,31
2506,22743,31
2506,22744,31
2506,22745,22
2506,22912,32
2506,24754,31
2506,24755,31
2506,24756,31
2506,24757,31
2506,24758,30
2506,24759,31
2506,24760,31
2506,24761,31
2506,24762,31
2506,24763,31
2506,24764,31
2506,24766,31
2506,24767,29
2506,24768,29
2506,24770,31
2506,24771,31
2506,24772,31
2506,24773,29
2506,24774,25
2506,24775,31
2506,24776,26
2506,24777,31
2506,13317,1694
2506,2493,25
2506,2528,26
2506,16194,25
2506,19189,29
2506,24947,27
2506,24948,27
2506,25189,14
2510,2445,766
2510,2531,3189
2510,2552,3100
2510,2555,3082
2510,2560,3092
2510,2566,3072
2510,2567,3085
2510,2572,3074
2510,12439,3092
2510,13058,3066
2510,13110,3099
2510,16183,3066
2510,16207,3130
2510,16256,3093
2510,17662,3100
2510,19195,3100
2510,19410,3100
2510,19433,3090
2510,21064,3100
2510,21126,3061
2510,21127,3096
2510,21141,3042
2510,21648,3100
2510,22739,3100
2510,22841,3088
2510,22842,3063
2510,23059,3097
2510,24765,3097
2510,24769,3100
2510,2577,3252
2510,13105,2958
2510,17963,3186
2510,2576,224
2510,2390,25
2510,2391,26
2510,2394,26
2510,2395,25
2510,2396,26
2510,2405,25
2510,2422,26
2510,2434,26
2510,2440,26
2510,2441,21
2510,2442,26
2510,2443,27
2510,2444,26
2510,2449,26
2510,2451,26
2510,2456,26
2510,2457,28
2510,2459,26
2510,2464,25
2510,2472,26
2510,2476,26
2510,2478,26
2510,2480,26
2510,2481,26
2510,2483,26
2510,2488,26
2510,2491,25
2510,2497,20
2510,2501,26
2510,2507,25
2510,2519,26
2510,2526,25
2510,12427,26
2510,12436,22
2510,12442,26
2510,12454,26
2510,12455,26
2510,12461,26
2510,13053,26
2510,13059,25
2510,13064,25
2510,13106,26
2510,13111,25
2510,13112,26
2510,13113,26
2510,13114,26
2510,13116,23
2510,13123,26
2510,13877,26
2510,13969,23
2510,16186,26
2510,16187,11
2510,16188,26
2510,16189,26
2510,16191,25
2510,16192,18
2510,16196,25
2510,16197,26
2510,16199,25
2510,16202,27
2510,16203,26
2510,17644,23
2510,17645,26
2510,17646,26
2510,17647,25
2510,17648,24
2510,17649,26
2510,17650,25
2510,17652,26
2510,17653,26
2510,17655,23
2510,17656,25
2510,17657,26
2510,17659,26
2510,17660,26
2510,17661,25
2510,17708,26
2510,17871,26
2510,17960,26
2510,17962,26
2510,17971,26
2510,17989,26
2510,19185,24
2510,19188,25
2510,19191,24
2510,19192,26
2510,19193,23
2510,19194,26
2510,19304,26
2510,19306,25
2510,19442,24
2510,19443,26
2510,19623,25
2510,21065,26
2510,21129,28
2510,21130,28
2510,21131,25
2510,21132,26
2510,21135,24
2510,21136,26
2510,21137,23
2510,21138,26
2510,21139,26
2510,21142,26
2510,21143,23
2510,21145,26
2510,21147,25
2510,21148,24
2510,21149,24
2510,21150,26
2510,21280,26
2510,21638,26
2510,21656,26
2510,21657,24
2510,22681,25
2510,22730,26
2510,22731,26
2510,22732,26
2510,22733,26
2510,22734,26
2510,22735,26
2510,22736,26
2510,22737,23
2510,22738,26
2510,22740,26
2510,22741,25
2510,22742,26
2510,22743,26
2510,22744,26
2510,22745,23
2510,22912,27
2510,24754,26
2510,24755,26
2510,24756,26
2510,24757,26
2510,24758,25
2510,24759,26
2510,24760,26
2510,24761,26
2510,24762,26
2510,24763,26
2510,24764,26
2510,24766,26
2510,24767,24
2510,24768,24
2510,24770,26
2510,24771,26
2510,24772,26
2510,24773,26
2510,24774,24
2510,24775,26
2510,24776,23
2510,24777,26
2510,13317,1679
2510,2493,22
2510,2528,21
2510,16194,22
2510,19189,24
2510,24947,22
2510,24948,22
2510,25189,11
2531,2445,824
2531,2552,3204
2531,2555,3222
2531,2560,3214
2531,2566,3234
2531,2567,3225
2531,2572,3250
2531,12439,3214
2531,13058,3254
2531,13110,3205
2531,16183,3167
2531,16207,3252
2531,16256,3211
2531,17662,3204
2531,19195,3204
2531,19410,3204
2531,19433,3218
2531,21064,3204
2531,21126,3175
2531,21127,3206
2531,21141,3157
2531,21648,3204
2531,22739,3204
2531,22841,3213
2531,22842,3171
2531,23059,3207
2531,24765,3207
2531,24769,3204
2531,2577,3478
2531,13105,3176
2531,17963,3415
2531,2576,218
2531,2390,28
2531,2391,27
2531,2394,29
2531,2395,28
2531,2396,31
2531,2405,28
2531,2422,29
2531,2434,29
2531,2440,31
2531,2441,24
2531,2442,29
2531,2443,32
2531,2444,31
2531,2449,29
2531,2451,27
2531,2456,29
2531,2457,29
2531,2459,31
2531,2464,28
2531,2472,29
2531,2476,29
2531,2478,29
2531,2480,29
2531,2481,29
2531,2483,29
2531,2488,29
2531,2491,28
2531,2497,24
2531,2501,29
2531,2507,23
2531,2519,31
2531,2526,28
2531,12427,31
2531,12436,27
2531,12442,31
2531,12454,31
2531,12455,31
2531,12461,29
2531,13053,29
2531,13059,26
2531,13064,28
2531,13106,29
2531,13111,28
2531,13112,29
2531,13113,29
2531,13114,31
2531,13116,24
2531,13123,29
2531,13877,29
2531,13969,26
2531,16186,29
2531,16187,12
2531,16188,29
2531,16189,29
2531,16191,28
2531,16192,20
2531,16196,30
2531,16197,29
2531,16199,28
2531,16202,28
2531,16203,29
2531,17644,26
2531,17645,29
2531,17646,29
2531,17647,28
2531,17648,29
2531,17649,31
2531,17650,30
2531,17652,31
2531,17653,29
2531,17655,28
2531,17656,29
2531,17657,29
2531,17659,27
2531,17660,29
2531,17661,30
2531,17708,29
2531,17871,29
2531,17960,29
2531,17962,29
2531,17971,29
2531,17989,31
2531,19185,31
2531,19188,32
2531,19191,31
2531,19192,29
2531,19193,26
2531,19194,29
2531,19304,29
2531,19306,28
2531,19442,26
2531,19443,29
2531,19623,28
2531,21065,29
2531,21129,29
2531,21130,29
2531,21131,28
2531,21132,29
2531,21135,27
2531,21136,29
2531,21137,21
2531,21138,27
2531,21139,29
2531,21142,29
2531,21143,28
2531,21145,29
2531,21147,30
2531,21148,29
2531,21149,27
2531,21150,29
2531,21280,31
2531,21638,29
2531,21656,31
2531,21657,31
2531,22681,30
2531,22730,29
2531,22731,29
2531,22732,29
2531,22733,29
2531,22734,29
2531,22735,29
2531,22736,29
2531,22737,26
2531,22738,29
2531,22740,29
2531,22741,30
2531,22742,29
2531,22743,29
2531,22744,29
2531,22745,26
2531,22912,28
2531,24754,29
2531,24755,29
2531,24756,27
2531,24757,29
2531,24758,28
2531,24759,29
2531,24760,29
2531,24761,29
2531,24762,29
2531,24763,29
2531,24764,29
2531,24766,29
2531,24767,27
2531,24768,27
2531,24770,29
2531,24771,29
2531,24772,27
2531,24773,31
2531,24774,25
2531,24775,29
2531,24776,28
2531,24777,29
2531,13317,1795
2531,2493,23
2531,2528,24
2531,16194,23
2531,19189,27
2531,24947,25
2531,24948,25
2531,25189,16
2552,2445,766
2552,2555,3097
2552,2560,3111
2552,2566,3091
2552,2567,3104
2552,2572,3093
2552,12439,3111
2552,13058,3081
2552,13110,3118
2552,16183,3085
2552,16207,3149
2552,16256,3108
2552,17662,3119
2552,19195,3119
2552,19410,3119
2552,19433,3109
2552,21064,3119
2552,21126,3080
2552,21127,3115
2552,21141,3061
2552,21648,3119
2552,22739,3119
2552,22841,3107
2552,22842,3078
2552,23059,3116
2552,24765,3116
2552,24769,3119
2552,2577,3267
2552,13105,2973
2552,17963,3201
2552,2576,224
2552,2390,30
2552,2391,31
2552,2394,31
2552,2395,30
2552,2396,29
2552,2405,30
2552,2422,31
2552,2434,31
2552,2440,29
2552,2441,26
2552,2442,31
2552,2443,30
2552,2444,29
2552,2449,31
2552,2451,31
2552,2456,31
2552,2457,29
2552,2459,29
2552,2464,30
2552,2472,31
2552,2476,31
2552,2478,31
2552,2480,31
2552,2481,31
2552,2483,31
2552,2488,31
2552,2491,30
2552,2497,25
2552,2501,31
2552,2507,24
2552,2519,29
2552,2526,30
2552,12427,29
2552,12436,25
2552,12442,29
2552,12454,29
2552,12455,29
2552,12461,31
2552,13053,31
2552,13059,30
2552,13064,30
2552,13106,31
2552,13111,30
2552,13112,31
2552,13113,31
2552,13114,29
2552,13116,22
2552,13123,31
2552,13877,31
2552,13969,28
2552,16186,31
2552,16187,11
2552,16188,31
2552,16189,31
2552,16191,30
2552,16192,23
2552,16196,28
2552,16197,31
2552,16199,30
2552,16202,28
2552,16203,31
2552,17644,28
2552,17645,31
2552,17646,31
2552,17647,30
2552,17648,27
2552,17649,29
2552,17650,28
2552,17652,29
2552,17653,31
